TABLESPACE_NAME,ENGINE_ATTRIBUTE
mysql,NULL
innodb_system,NULL
innodb_temporary,NULL
innodb_undo_001,NULL
innodb_undo_002,NULL
sys/sys_config,NULL
techcorp_db/users,NULL
techcorp_db/clients,NULL
techcorp_db/contacts,NULL
techcorp_db/secret_data,NULL

